Date,Price,Regime,Signal
2005-12-20,571.1840209960938,1,Buy
2006-03-07,713.97998046875,-1,Sell
2006-03-28,734.97998046875,1,Buy
2006-06-06,697.1810302734375,-1,Sell
2006-07-20,768.5789794921875,1,Buy
2007-01-26,1360.760009765625,-1,Sell
2007-02-15,1478.3599853515625,1,Buy
2007-06-13,2192.340087890625,-1,Sell
2007-08-02,2183.93994140625,1,Buy
2007-08-07,2015.93994140625,-1,Sell
2007-08-08,2162.93994140625,1,Buy
2007-08-15,1763.949951171875,-1,Sell
2007-09-27,2372.929931640625,1,Buy
2008-01-18,3107.909912109375,-1,Sell
2008-03-05,3401.909912109375,1,Buy
2008-03-25,2876.919921875,-1,Sell
2008-05-14,3107.909912109375,1,Buy
2008-06-12,2834.919921875,0,Sell
2008-06-13,2771.919921875,-1,Sell
2008-12-30,915.5750122070312,1,Buy
2009-02-20,957.573974609375,-1,Sell
2009-02-23,1033.1700439453125,1,Buy
2009-03-27,949.1740112304688,-1,Sell
2009-04-13,1075.1700439453125,1,Buy
2009-07-15,1629.56005859375,-1,Sell
2009-08-10,2015.93994140625,1,Buy
2009-11-09,1931.949951171875,-1,Sell
2010-03-23,1784.949951171875,1,Buy
2010-05-19,1663.1500244140625,-1,Sell
2010-07-16,1654.75,1,Buy
2010-07-20,1654.75,-1,Sell
2010-07-21,1700.949951171875,1,Buy
2010-12-10,2078.93994140625,-1,Sell
2011-04-08,1994.949951171875,1,Buy
2011-05-16,1847.949951171875,-1,Sell
2011-11-08,1436.3599853515625,1,Buy
2011-12-12,1377.56005859375,-1,Sell
2012-01-18,1444.760009765625,1,Buy
2012-03-27,1511.9599609375,-1,Sell
2012-07-18,1142.3699951171875,1,Buy
2012-08-08,1049.969970703125,-1,Sell
2012-09-19,1184.3699951171875,1,Buy
2012-10-30,1083.5699462890625,-1,Sell
2013-01-03,1142.3699951171875,1,Buy
2013-03-01,1091.969970703125,-1,Sell
2013-04-01,1175.969970703125,1,Buy
2013-05-13,1125.5699462890625,-1,Sell
2013-08-01,1007.969970703125,1,Buy
2013-11-21,1117.1700439453125,-1,Sell
2014-03-05,907.1749877929688,1,Buy
2014-06-23,940.7739868164062,-1,Sell
2014-08-06,1028.969970703125,1,Buy
2014-09-16,953.3740234375,-1,Sell
2014-12-11,802.177978515625,1,Buy
2015-02-26,839.9769897460938,-1,Sell
2016-02-04,349.0,1,Buy
2016-09-01,700.0,-1,Sell
2016-10-13,830.0,1,Buy
2017-01-02,895.0,-1,Sell
2017-06-08,715.0,1,Buy
2017-07-14,695.0,-1,Sell
2017-08-31,740.0,1,Buy
2017-09-25,650.0,-1,Sell
2017-11-10,705.0,1,Buy
2017-12-07,605.0,-1,Sell
2018-01-18,740.0,1,Buy
2018-03-27,775.0,-1,Sell
2018-05-02,865.0,1,Buy
2018-05-30,850.0,-1,Sell
2018-06-04,880.0,1,Buy
2018-07-11,845.0,-1,Sell
2018-08-02,915.0,1,Buy
2018-09-03,830.0,-1,Sell
2018-12-21,770.0,1,Buy
2019-03-28,885.0,-1,Sell
2019-03-29,890.0,-1,Buy
