Datecadangan,Predictions,warna
2007-09-25,6024.920230928808,blue
2007-09-26,6027.124256001553,blue
2007-09-27,6029.328281074064,blue
2007-09-28,6031.532306146808,blue
2007-10-01,6038.1443813648075,blue
2007-10-02,6040.348406437319,blue
2007-10-03,6042.552431510063,blue
2007-10-04,6044.756456582574,blue
2007-10-05,6046.960481655318,blue
2007-10-08,6053.572556873085,blue
2007-10-09,6055.776581945829,blue
2007-10-10,6057.98060701834,blue
2007-10-11,6060.1846320910845,blue
2007-10-17,6073.408782526851,blue
2007-10-18,6075.612807599595,blue
2007-10-19,6077.816832672106,blue
2007-10-22,6084.428907890106,blue
2007-10-23,6086.632932962617,blue
2007-10-24,6088.836958035361,blue
2007-10-25,6091.040983107872,blue
2007-10-26,6093.245008180616,blue
2007-10-29,6099.857083398383,blue
2007-10-30,6102.061108471127,blue
2007-10-31,6104.2651335436385,blue
2007-11-01,6106.469158616383,blue
2007-11-02,6108.673183689127,blue
2007-11-05,6115.285258906893,blue
2007-11-06,6117.489283979638,blue
2007-11-07,6119.693309052149,blue
2007-11-08,6121.897334124893,blue
2007-11-09,6124.101359197404,blue
2007-11-12,6130.713434415404,blue
2007-11-13,6132.917459487915,blue
2007-11-14,6135.121484560659,blue
2007-11-15,6137.32550963317,blue
2007-11-16,6139.529534705915,blue
2007-11-19,6146.141609923914,blue
2007-11-20,6148.345634996425,blue
2007-11-21,6150.5496600691695,blue
2007-11-22,6152.753685141681,blue
2007-11-23,6154.957710214425,blue
2007-11-26,6161.569785432192,blue
2007-11-27,6163.773810504936,blue
2007-11-28,6165.977835577447,blue
2007-11-29,6168.181860650191,blue
2007-11-30,6170.385885722702,blue
2007-12-03,6176.997960940702,blue
2007-12-04,6179.201986013446,blue
2007-12-05,6181.406011085957,blue
2007-12-06,6183.610036158701,blue
2007-12-07,6185.814061231213,blue
2007-12-10,6192.426136449212,blue
2007-12-11,6194.6301615217235,blue
2007-12-12,6196.834186594468,blue
2007-12-13,6199.038211666979,blue
2007-12-14,6201.242236739723,blue
2007-12-17,6207.85431195749,blue
2007-12-18,6210.058337030234,blue
2007-12-19,6212.262362102745,blue
2007-12-26,6227.690537611255,blue
2007-12-27,6229.8945626839995,blue
2007-12-28,6232.098587756511,blue
2008-01-02,6243.118713119766,blue
2008-01-03,6245.322738192277,blue
2008-01-04,6247.526763265021,blue
2008-01-07,6254.138838483021,blue
2008-01-08,6256.342863555532,blue
2008-01-09,6258.546888628276,blue
2008-01-14,6269.567013991298,blue
2008-01-15,6271.771039064042,blue
2008-01-16,6273.975064136554,blue
2008-01-17,6276.179089209298,blue
2008-01-18,6278.383114281809,blue
2008-01-21,6284.9951894998085,blue
2008-01-22,6287.199214572553,blue
2008-01-23,6289.403239645064,blue
2008-01-24,6291.607264717808,blue
2008-01-25,6293.811289790319,blue
2008-01-28,6300.423365008319,blue
2008-01-29,6302.62739008083,blue
2008-01-30,6304.831415153574,blue
2008-01-31,6307.0354402260855,blue
2008-02-01,6309.23946529883,blue
2008-02-04,6315.851540516596,blue
2008-02-05,6318.05556558934,blue
2008-02-06,6320.259590661852,blue
2008-02-11,6331.279716025107,blue
2008-02-12,6333.483741097851,blue
2008-02-13,6335.687766170362,blue
2008-02-14,6337.891791243106,blue
2008-02-15,6340.095816315617,blue
2008-02-18,6346.707891533617,blue
2008-02-19,6348.911916606128,blue
2008-02-20,6351.115941678872,blue
2008-02-21,6353.319966751384,blue
2008-02-22,6355.523991824128,blue
