Datecadangan,Close,warna,ML,symbol
2008-04-30,6050.0,green,LR,isat
2008-05-05,6500.0,green,LR,isat
2008-05-06,6400.0,green,LR,isat
2008-05-07,6300.0,green,LR,isat
2008-05-08,6300.0,green,LR,isat
2008-05-09,6100.0,green,LR,isat
2008-05-12,6050.0,green,LR,isat
2008-05-13,6100.0,green,LR,isat
2008-05-14,6050.0,green,LR,isat
2008-05-15,6000.0,green,LR,isat
2008-05-16,6000.0,green,LR,isat
2008-05-21,6000.0,green,LR,isat
2008-05-22,6300.0,green,LR,isat
2008-05-23,5950.0,green,LR,isat
2008-05-26,5750.0,green,LR,isat
2008-05-27,5650.0,green,LR,isat
2008-05-28,5700.0,green,LR,isat
2008-05-29,5750.0,green,LR,isat
2008-05-30,5750.0,green,LR,isat
2008-06-02,5700.0,green,LR,isat
2008-06-03,5600.0,green,LR,isat
2008-06-04,5300.0,green,LR,isat
2008-06-05,5700.0,green,LR,isat
2008-06-06,5650.0,green,LR,isat
2008-06-09,5650.0,green,LR,isat
2008-06-10,6650.0,green,LR,isat
2008-06-11,6550.0,green,LR,isat
2008-06-12,6450.0,green,LR,isat
2008-06-13,6500.0,green,LR,isat
2008-06-16,6450.0,green,LR,isat
2008-06-17,6350.0,green,LR,isat
2008-06-18,6300.0,green,LR,isat
2008-06-19,6300.0,green,LR,isat
2008-06-20,6100.0,green,LR,isat
2008-06-23,6000.0,green,LR,isat
2008-06-24,6300.0,green,LR,isat
2008-06-25,6200.0,green,LR,isat
2008-06-26,6400.0,green,LR,isat
2008-06-27,6800.0,green,LR,isat
2008-06-30,6750.0,green,LR,isat
2008-07-01,6700.0,green,LR,isat
2008-07-02,6600.0,green,LR,isat
2008-07-03,6300.0,green,LR,isat
2008-07-04,6500.0,green,LR,isat
2008-07-07,6500.0,green,LR,isat
2008-07-08,6400.0,green,LR,isat
2008-07-09,6600.0,green,LR,isat
2008-07-10,6600.0,green,LR,isat
2008-07-11,6500.0,green,LR,isat
2008-07-14,6550.0,green,LR,isat
2008-07-15,6750.0,green,LR,isat
2008-07-16,6650.0,green,LR,isat
2008-07-17,6600.0,green,LR,isat
2008-07-18,6400.0,green,LR,isat
2008-07-21,6400.0,green,LR,isat
2008-07-22,6500.0,green,LR,isat
2008-07-23,6550.0,green,LR,isat
2008-07-24,6500.0,green,LR,isat
2008-07-25,6450.0,green,LR,isat
2008-07-28,6450.0,green,LR,isat
2008-07-29,6600.0,green,LR,isat
