Datecadangan,Close,warna
2003-09-03,3375.0,red
2003-09-04,3425.0,red
2003-09-05,3450.0,red
2003-09-08,3400.0,red
2003-09-09,3325.0,red
2003-09-10,3200.0,red
2003-09-11,3200.0,red
2003-09-12,3300.0,red
2003-09-15,3250.0,red
2003-09-16,3325.0,red
2003-09-17,3325.0,red
2003-09-18,3300.0,red
2003-09-19,3300.0,red
2003-09-23,3300.0,red
2003-09-24,3325.0,red
2003-09-25,3350.0,red
2003-09-26,3325.0,red
2003-09-29,3300.0,red
2003-09-30,3350.0,red
2003-10-01,3325.0,red
2003-10-02,3350.0,red
2003-10-03,3325.0,red
2003-10-06,3300.0,red
2003-10-07,3325.0,red
2003-10-08,3300.0,red
2003-10-09,3300.0,red
2003-10-10,3275.0,red
2003-10-13,3300.0,red
2003-10-14,3300.0,red
2003-10-15,3250.0,red
2003-10-16,3250.0,red
2003-10-17,3275.0,red
2003-10-20,3250.0,red
2003-10-21,3250.0,red
2003-10-22,3200.0,red
2003-10-23,3100.0,red
2003-10-24,3225.0,red
2003-10-27,3225.0,red
2003-10-28,3225.0,red
2003-10-29,3175.0,red
2003-10-30,3125.0,red
2003-10-31,3225.0,red
2003-11-03,3200.0,red
2003-11-04,3250.0,red
2003-11-05,3200.0,red
2003-11-06,3225.0,red
2003-11-07,3250.0,red
2003-11-10,3300.0,red
2003-11-11,3300.0,red
2003-11-12,3275.0,red
2003-11-13,3225.0,red
2003-11-14,3200.0,red
2003-11-17,3175.0,red
2003-11-18,3175.0,red
2003-11-19,3150.0,red
2003-11-20,3150.0,red
2003-11-21,3175.0,red
2003-12-01,3425.0,red
2003-12-02,3350.0,red
2003-12-03,3350.0,red
2003-12-04,3325.0,red
2003-12-05,3275.0,red
2003-12-08,3275.0,red
2003-12-09,3250.0,red
2003-12-10,3250.0,red
2003-12-11,3275.0,red
2003-12-12,3250.0,red
2003-12-15,3250.0,red
2003-12-16,3300.0,red
2003-12-17,3275.0,red
2003-12-18,3350.0,red
2003-12-19,3425.0,red
2003-12-22,3450.0,red
2003-12-23,3425.0,red
2003-12-29,3675.0,red
2003-12-30,3625.0,red
2004-01-02,3575.0,red
2004-01-05,3575.0,red
2004-01-06,3575.0,red
2004-01-07,3525.0,red
2004-01-08,3575.0,red
2004-01-09,3675.0,red
2004-01-12,3625.0,red
2004-01-13,3575.0,red
2004-01-14,3650.0,red
2004-01-15,3750.0,red
2004-01-16,3875.0,red
2004-01-19,3825.0,red
2004-01-20,3825.0,red
2004-01-21,3750.0,red
2004-01-23,3850.0,red
2004-01-26,3900.0,red
2004-01-27,3800.0,red
2004-01-28,3750.0,red
2004-01-29,3775.0,red
2004-01-30,3825.0,red
2004-02-03,3725.0,red
2004-02-04,3700.0,red
2004-02-05,3800.0,red
2004-02-06,3850.0,red
2004-02-09,3825.0,red
2004-02-10,3825.0,red
2004-02-11,3850.0,red
2004-02-12,3850.0,red
2004-02-13,3850.0,red
2004-02-16,3775.0,red
