,Start Port. Value,End Port. Value,End Date,Shares,Share Price,Trade Value,Profit per Share,Total Profit,Stop-Loss Triggered
2001-02-22,100000.0,100976.73912644386,2001-06-04,11100.0,0.8960164785385132,9945.782911777496,0.0879945158958435,976.7391264438629,0.0
2001-07-13,100976.73912644386,109964.73912644386,2001-07-27,8400.0,1.1835755109786987,9942.03429222107,1.07,8988.000000000002,1.0
2001-10-31,109964.73912644386,113531.18125844002,2002-05-10,13000.0,0.8363614082336426,10872.698307037354,0.2743417024612427,3566.442131996155,0.0
2002-11-01,113531.18125844002,123681.18125844002,2002-12-13,14500.0,0.7792071104049683,11298.50310087204,0.7,10150.0,1.0
2003-02-25,123681.18125844002,122980.75380969048,2003-04-01,17100.0,0.7153843641281128,12233.072626590729,-0.04096066951751709,-700.4274487495422,0.0
2003-05-09,122980.75380969048,124377.66138362885,2003-11-18,13900.0,0.8716065883636475,12115.3315782547,0.10049694776535034,1396.9075739383698,0.0
2004-01-14,124377.66138362885,135505.66138362885,2004-05-14,10700.0,1.1526165008544922,12332.996559143066,1.04,11128.0,1.0
2004-06-03,135505.66138362885,135684.84217262268,2004-06-04,9900.0,1.3526573181152344,13391.30744934082,0.018099069595336914,179.18078899383545,0.0
2004-06-07,135684.84217262268,136123.73686170578,2004-08-16,9500.0,1.4198144674301147,13488.23744058609,0.04619944095611572,438.89468908309937,0.0
2004-09-01,136123.73686170578,149232.8978691101,2005-04-15,7900.0,1.7079683542251587,13492.949998378754,1.659387469291687,13109.161007404327,0.0
2005-06-13,149232.8978691101,149478.66083717346,2005-07-01,4300.0,3.4197466373443604,14704.91054058075,0.057154178619384766,245.7629680633545,0.0
2005-07-12,149478.66083717346,159564.5363483429,2006-02-13,4000.0,3.6426494121551514,14570.597648620605,2.5214688777923584,10085.875511169434,0.0
2006-04-27,159564.5363483429,173844.5363483429,2006-06-02,2400.0,6.607065200805664,15856.956481933594,5.95,14280.000000000002,1.0
2006-08-03,173844.5363483429,189366.5363483429,2007-01-08,2600.0,6.628973484039307,17235.331058502197,5.97,15522.0,1.0
2007-01-10,189366.5363483429,206006.5363483429,2007-01-23,2000.0,9.239982604980469,18479.965209960938,8.32,16640.0,1.0
