Datecadangan,Close,warna,ML,symbol
2009-12-23,1763.949951171875,green,LR,ANTM
2009-12-28,1847.949951171875,green,LR,ANTM
2009-12-29,1889.949951171875,green,LR,ANTM
2009-12-30,1847.949951171875,green,LR,ANTM
2010-01-04,1931.949951171875,green,LR,ANTM
2010-01-05,1931.949951171875,green,LR,ANTM
2010-01-06,1931.949951171875,green,LR,ANTM
2010-01-07,1973.949951171875,green,LR,ANTM
2010-01-08,1973.949951171875,green,LR,ANTM
2010-01-11,1952.949951171875,green,LR,ANTM
2010-01-12,1973.949951171875,green,LR,ANTM
2010-01-13,1910.949951171875,green,LR,ANTM
2010-01-14,1931.949951171875,green,LR,ANTM
2010-01-15,1868.949951171875,green,LR,ANTM
2010-01-18,1868.949951171875,green,LR,ANTM
2010-01-19,1868.949951171875,green,LR,ANTM
2010-01-20,1826.949951171875,green,LR,ANTM
2010-01-21,1826.949951171875,green,LR,ANTM
2010-01-22,1826.949951171875,green,LR,ANTM
2010-01-25,1847.949951171875,green,LR,ANTM
2010-01-26,1784.949951171875,green,LR,ANTM
2010-01-27,1784.949951171875,green,LR,ANTM
2010-01-28,1805.949951171875,green,LR,ANTM
2010-01-29,1784.949951171875,green,LR,ANTM
2010-02-01,1742.949951171875,green,LR,ANTM
2010-02-02,1721.949951171875,green,LR,ANTM
2010-02-03,1763.949951171875,green,LR,ANTM
2010-02-04,1721.949951171875,green,LR,ANTM
2010-02-05,1679.949951171875,green,LR,ANTM
2010-02-08,1663.1500244140625,green,LR,ANTM
2010-02-09,1637.949951171875,green,LR,ANTM
2010-02-10,1637.949951171875,green,LR,ANTM
2010-02-11,1654.75,green,LR,ANTM
2010-02-12,1700.949951171875,green,LR,ANTM
2010-02-15,1679.949951171875,green,LR,ANTM
2010-02-16,1763.949951171875,green,LR,ANTM
2010-02-17,1784.949951171875,green,LR,ANTM
2010-02-18,1721.949951171875,green,LR,ANTM
2010-02-19,1742.949951171875,green,LR,ANTM
2010-02-22,1742.949951171875,green,LR,ANTM
2010-02-23,1763.949951171875,green,LR,ANTM
2010-02-24,1742.949951171875,green,LR,ANTM
2010-02-25,1742.949951171875,green,LR,ANTM
2010-03-01,1763.949951171875,green,LR,ANTM
2010-03-02,1763.949951171875,green,LR,ANTM
2010-03-03,1763.949951171875,green,LR,ANTM
2010-03-04,1805.949951171875,green,LR,ANTM
2010-03-05,1784.949951171875,green,LR,ANTM
2010-03-08,1805.949951171875,green,LR,ANTM
2010-03-09,1805.949951171875,green,LR,ANTM
2010-03-10,1805.949951171875,green,LR,ANTM
2010-03-11,1805.949951171875,green,LR,ANTM
2010-03-12,1805.949951171875,green,LR,ANTM
2010-03-15,1805.949951171875,green,LR,ANTM
2010-03-17,1868.949951171875,green,LR,ANTM
2010-03-18,1847.949951171875,green,LR,ANTM
2010-03-19,1847.949951171875,green,LR,ANTM
2010-03-22,1784.949951171875,green,LR,ANTM
2010-03-23,1784.949951171875,green,LR,ANTM
