Datecadangan,Close,warna,ML,symbol
2005-09-29,432.5880126953125,red,LR,ANTM
2005-09-30,457.7869873046875,red,LR,ANTM
2005-10-03,470.3869934082031,red,LR,ANTM
2005-10-04,474.5870056152344,red,LR,ANTM
2005-10-05,482.9869995117188,red,LR,ANTM
2005-10-06,466.18701171875,red,LR,ANTM
2005-10-07,470.3869934082031,red,LR,ANTM
2005-10-10,466.18701171875,red,LR,ANTM
2005-10-11,466.18701171875,red,LR,ANTM
2005-10-12,470.3869934082031,red,LR,ANTM
2005-10-13,474.5870056152344,red,LR,ANTM
2005-10-14,474.5870056152344,red,LR,ANTM
2005-10-18,470.3869934082031,red,LR,ANTM
2005-10-19,461.9869995117188,red,LR,ANTM
2005-10-21,461.9869995117188,red,LR,ANTM
2005-10-24,449.38800048828125,red,LR,ANTM
2005-10-26,453.5870056152344,red,LR,ANTM
2005-10-27,440.9880065917969,red,LR,ANTM
2005-10-28,428.38800048828125,red,LR,ANTM
2005-10-31,432.5880126953125,red,LR,ANTM
2005-11-01,428.38800048828125,red,LR,ANTM
2005-11-10,419.9880065917969,red,LR,ANTM
2005-11-11,411.5889892578125,red,LR,ANTM
2005-11-14,411.5889892578125,red,LR,ANTM
2005-11-15,403.1889953613281,red,LR,ANTM
2005-11-16,407.3890075683594,red,LR,ANTM
2005-11-17,403.1889953613281,red,LR,ANTM
2005-11-18,407.3890075683594,red,LR,ANTM
2005-11-21,419.9880065917969,red,LR,ANTM
2005-11-22,436.7879943847656,red,LR,ANTM
2005-11-23,436.7879943847656,red,LR,ANTM
2005-11-24,436.7879943847656,red,LR,ANTM
2005-11-25,428.38800048828125,red,LR,ANTM
2005-11-28,432.5880126953125,red,LR,ANTM
2005-11-29,457.7869873046875,red,LR,ANTM
2005-11-30,478.7869873046875,red,LR,ANTM
2005-12-01,487.18701171875,red,LR,ANTM
2005-12-02,491.385986328125,red,LR,ANTM
2005-12-05,487.18701171875,red,LR,ANTM
2005-12-06,491.385986328125,red,LR,ANTM
2005-12-07,482.9869995117188,red,LR,ANTM
2005-12-08,482.9869995117188,red,LR,ANTM
2005-12-09,524.9860229492189,red,LR,ANTM
2005-12-12,608.9829711914062,red,LR,ANTM
2005-12-13,608.9829711914062,red,LR,ANTM
2005-12-14,566.9840087890625,red,LR,ANTM
2005-12-15,545.9849853515625,red,LR,ANTM
2005-12-16,537.5850219726561,red,LR,ANTM
2005-12-19,571.1840209960938,red,LR,ANTM
2005-12-20,571.1840209960938,red,LR,ANTM
2005-12-21,554.385009765625,red,LR,ANTM
2005-12-22,550.1849975585939,red,LR,ANTM
2005-12-23,562.7839965820311,red,LR,ANTM
2005-12-27,579.583984375,red,LR,ANTM
2005-12-28,596.3839721679688,red,LR,ANTM
2005-12-29,600.5830078125,red,LR,ANTM
2006-01-02,604.7830200195312,red,LR,ANTM
2006-01-03,592.1840209960938,red,LR,ANTM
2006-01-04,621.5830078125,red,LR,ANTM
2006-01-05,650.9819946289062,red,LR,ANTM
2006-01-06,667.781982421875,red,LR,ANTM
2006-01-09,713.97998046875,red,LR,ANTM
2006-01-11,701.3809814453125,red,LR,ANTM
2006-01-12,760.1790161132812,red,LR,ANTM
2006-01-13,764.3790283203125,red,LR,ANTM
2006-01-16,785.3779907226562,red,LR,ANTM
2006-01-17,760.1790161132812,red,LR,ANTM
2006-01-18,713.97998046875,red,LR,ANTM
2006-01-19,751.7789916992188,red,LR,ANTM
2006-01-20,760.1790161132812,red,LR,ANTM
2006-01-23,739.1799926757812,red,LR,ANTM
2006-01-24,743.3800048828125,red,LR,ANTM
2006-01-25,743.3800048828125,red,LR,ANTM
2006-01-26,739.1799926757812,red,LR,ANTM
2006-01-27,705.5809936523438,red,LR,ANTM
2006-01-30,718.1799926757812,red,LR,ANTM
2006-02-01,730.780029296875,red,LR,ANTM
2006-02-02,764.3790283203125,red,LR,ANTM
2006-02-03,764.3790283203125,red,LR,ANTM
2006-02-06,751.7789916992188,red,LR,ANTM
2006-02-07,768.5789794921875,red,LR,ANTM
2006-02-08,726.5800170898438,red,LR,ANTM
2006-02-09,739.1799926757812,red,LR,ANTM
2006-02-10,743.3800048828125,red,LR,ANTM
2006-02-13,726.5800170898438,red,LR,ANTM
2006-02-14,709.780029296875,red,LR,ANTM
2006-02-15,718.1799926757812,red,LR,ANTM
2006-02-16,697.1810302734375,red,LR,ANTM
2006-02-17,650.9819946289062,red,LR,ANTM
2006-02-20,642.5819702148438,red,LR,ANTM
2006-02-21,642.5819702148438,red,LR,ANTM
2006-02-22,655.1820068359375,red,LR,ANTM
2006-02-23,671.9819946289062,red,LR,ANTM
2006-02-24,671.9819946289062,red,LR,ANTM
2006-02-27,684.5809936523438,red,LR,ANTM
2006-02-28,676.1810302734375,red,LR,ANTM
2006-03-01,680.3809814453125,red,LR,ANTM
