,Date,Close,warna,ML,symbol
0,2003-09-03,3375.0,red,MA,UNVR
1,2003-09-04,3425.0,red,MA,UNVR
2,2003-09-05,3450.0,red,MA,UNVR
3,2003-09-08,3400.0,red,MA,UNVR
4,2003-09-09,3325.0,red,MA,UNVR
5,2003-09-10,3200.0,red,MA,UNVR
6,2003-09-11,3200.0,red,MA,UNVR
7,2003-09-12,3300.0,red,MA,UNVR
8,2003-09-15,3250.0,red,MA,UNVR
9,2003-09-16,3325.0,red,MA,UNVR
10,2003-09-17,3325.0,red,MA,UNVR
11,2003-09-18,3300.0,red,MA,UNVR
12,2003-09-19,3300.0,red,MA,UNVR
13,2003-09-23,3300.0,red,MA,UNVR
14,2003-09-24,3325.0,red,MA,UNVR
15,2003-09-25,3350.0,red,MA,UNVR
16,2003-09-26,3325.0,red,MA,UNVR
17,2003-09-29,3300.0,red,MA,UNVR
18,2003-09-30,3350.0,red,MA,UNVR
19,2003-10-01,3325.0,red,MA,UNVR
20,2003-10-02,3350.0,red,MA,UNVR
21,2003-10-03,3325.0,red,MA,UNVR
22,2003-10-06,3300.0,red,MA,UNVR
23,2003-10-07,3325.0,red,MA,UNVR
24,2003-10-08,3300.0,red,MA,UNVR
25,2003-10-09,3300.0,red,MA,UNVR
26,2003-10-10,3275.0,red,MA,UNVR
27,2003-10-13,3300.0,red,MA,UNVR
28,2003-10-14,3300.0,red,MA,UNVR
29,2003-10-15,3250.0,red,MA,UNVR
30,2003-10-16,3250.0,red,MA,UNVR
31,2003-10-17,3275.0,red,MA,UNVR
32,2003-10-20,3250.0,red,MA,UNVR
33,2003-10-21,3250.0,red,MA,UNVR
34,2003-10-22,3200.0,red,MA,UNVR
35,2003-10-23,3100.0,red,MA,UNVR
36,2003-10-24,3225.0,red,MA,UNVR
37,2003-10-27,3225.0,red,MA,UNVR
38,2003-10-28,3225.0,red,MA,UNVR
39,2003-10-29,3175.0,red,MA,UNVR
40,2003-10-30,3125.0,red,MA,UNVR
41,2003-10-31,3225.0,red,MA,UNVR
42,2003-11-03,3200.0,red,MA,UNVR
43,2003-11-04,3250.0,red,MA,UNVR
44,2003-11-05,3200.0,red,MA,UNVR
45,2003-11-06,3225.0,red,MA,UNVR
46,2003-11-07,3250.0,red,MA,UNVR
47,2003-11-10,3300.0,red,MA,UNVR
48,2003-11-11,3300.0,red,MA,UNVR
49,2003-11-12,3275.0,red,MA,UNVR
50,2003-11-13,3225.0,red,MA,UNVR
51,2003-11-14,3200.0,red,MA,UNVR
52,2003-11-17,3175.0,red,MA,UNVR
53,2003-11-18,3175.0,red,MA,UNVR
54,2003-11-19,3150.0,red,MA,UNVR
55,2003-11-20,3150.0,red,MA,UNVR
56,2003-11-21,3175.0,red,MA,UNVR
57,2003-12-01,3425.0,red,MA,UNVR
58,2003-12-02,3350.0,red,MA,UNVR
59,2003-12-03,3350.0,red,MA,UNVR
60,2003-12-04,3325.0,red,MA,UNVR
61,2003-12-05,3275.0,red,MA,UNVR
62,2003-12-08,3275.0,red,MA,UNVR
63,2003-12-09,3250.0,red,MA,UNVR
64,2003-12-10,3250.0,red,MA,UNVR
65,2003-12-11,3275.0,red,MA,UNVR
66,2003-12-12,3250.0,red,MA,UNVR
67,2003-12-15,3250.0,red,MA,UNVR
68,2003-12-16,3300.0,red,MA,UNVR
69,2003-12-17,3275.0,red,MA,UNVR
70,2003-12-18,3350.0,red,MA,UNVR
71,2003-12-19,3425.0,red,MA,UNVR
72,2003-12-22,3450.0,red,MA,UNVR
73,2003-12-23,3425.0,red,MA,UNVR
74,2003-12-29,3675.0,red,MA,UNVR
75,2003-12-30,3625.0,red,MA,UNVR
76,2004-01-02,3575.0,red,MA,UNVR
77,2004-01-05,3575.0,red,MA,UNVR
78,2004-01-06,3575.0,red,MA,UNVR
79,2004-01-07,3525.0,red,MA,UNVR
80,2004-01-08,3575.0,red,MA,UNVR
81,2004-01-09,3675.0,red,MA,UNVR
82,2004-01-12,3625.0,red,MA,UNVR
83,2004-01-13,3575.0,red,MA,UNVR
84,2004-01-14,3650.0,red,MA,UNVR
85,2004-01-15,3750.0,red,MA,UNVR
86,2004-01-16,3875.0,red,MA,UNVR
87,2004-01-19,3825.0,red,MA,UNVR
88,2004-01-20,3825.0,red,MA,UNVR
89,2004-01-21,3750.0,red,MA,UNVR
90,2004-01-23,3850.0,red,MA,UNVR
91,2004-01-26,3900.0,red,MA,UNVR
92,2004-01-27,3800.0,red,MA,UNVR
93,2004-01-28,3750.0,red,MA,UNVR
94,2004-01-29,3775.0,red,MA,UNVR
95,2004-01-30,3825.0,red,MA,UNVR
96,2004-02-03,3725.0,red,MA,UNVR
97,2004-02-04,3700.0,red,MA,UNVR
98,2004-02-05,3800.0,red,MA,UNVR
99,2004-02-06,3850.0,red,MA,UNVR
100,2004-02-09,3825.0,red,MA,UNVR
101,2004-02-10,3825.0,red,MA,UNVR
102,2004-02-11,3850.0,red,MA,UNVR
103,2004-02-12,3850.0,red,MA,UNVR
104,2004-02-13,3850.0,red,MA,UNVR
105,2004-02-16,3775.0,red,MA,UNVR
106,2004-02-17,3725.0,red,MA,UNVR
107,2004-02-18,3600.0,red,MA,UNVR
108,2004-02-19,3575.0,red,MA,UNVR
109,2004-02-20,3575.0,red,MA,UNVR
110,2004-02-24,3625.0,red,MA,UNVR
111,2004-02-25,3600.0,red,MA,UNVR
112,2004-02-26,3550.0,red,MA,UNVR
113,2004-02-27,3400.0,red,MA,UNVR
114,2004-03-01,3375.0,red,MA,UNVR
115,2004-03-02,3675.0,red,MA,UNVR
116,2004-03-03,3575.0,red,MA,UNVR
117,2004-03-04,3550.0,red,MA,UNVR
118,2004-03-05,3575.0,red,MA,UNVR
119,2004-03-08,3525.0,red,MA,UNVR
120,2004-03-09,3550.0,red,MA,UNVR
121,2004-03-10,3550.0,red,MA,UNVR
122,2004-03-11,3450.0,red,MA,UNVR
123,2004-03-12,3425.0,red,MA,UNVR
124,2004-03-15,3400.0,red,MA,UNVR
125,2004-03-16,3450.0,red,MA,UNVR
126,2004-03-17,3450.0,red,MA,UNVR
127,2004-03-18,3525.0,red,MA,UNVR
128,2004-03-19,3550.0,red,MA,UNVR
129,2004-03-23,3550.0,red,MA,UNVR
130,2004-03-24,3550.0,red,MA,UNVR
131,2004-03-25,3450.0,red,MA,UNVR
132,2004-03-26,3475.0,red,MA,UNVR
133,2004-03-29,3550.0,red,MA,UNVR
134,2004-03-30,3525.0,red,MA,UNVR
135,2004-03-31,3550.0,red,MA,UNVR
136,2004-04-01,3550.0,red,MA,UNVR
137,2004-04-02,3550.0,red,MA,UNVR
138,2004-04-06,3625.0,red,MA,UNVR
139,2004-04-07,3600.0,red,MA,UNVR
140,2004-04-08,3675.0,red,MA,UNVR
141,2004-04-12,3600.0,red,MA,UNVR
142,2004-04-13,3600.0,red,MA,UNVR
143,2004-04-14,3675.0,red,MA,UNVR
144,2004-04-15,3650.0,red,MA,UNVR
145,2004-04-16,3650.0,red,MA,UNVR
146,2004-04-19,3675.0,red,MA,UNVR
147,2004-04-20,3750.0,red,MA,UNVR
148,2004-04-21,3775.0,red,MA,UNVR
149,2004-04-22,3700.0,red,MA,UNVR
150,2004-04-23,3650.0,red,MA,UNVR
151,2004-04-26,3650.0,red,MA,UNVR
152,2004-04-27,3700.0,red,MA,UNVR
153,2004-04-28,3750.0,red,MA,UNVR
154,2004-04-29,3725.0,red,MA,UNVR
155,2004-04-30,3675.0,red,MA,UNVR
156,2004-05-04,3675.0,red,MA,UNVR
157,2004-05-05,3600.0,red,MA,UNVR
158,2004-05-06,3625.0,red,MA,UNVR
159,2004-05-07,3600.0,red,MA,UNVR
160,2004-05-10,3500.0,red,MA,UNVR
161,2004-05-11,3650.0,red,MA,UNVR
162,2004-05-12,3725.0,red,MA,UNVR
163,2004-05-13,3750.0,red,MA,UNVR
164,2004-05-14,3725.0,red,MA,UNVR
165,2004-05-17,3375.0,red,MA,UNVR
166,2004-05-18,3525.0,red,MA,UNVR
167,2004-05-19,3550.0,red,MA,UNVR
168,2004-05-21,3650.0,red,MA,UNVR
169,2004-05-24,3675.0,red,MA,UNVR
170,2004-05-25,3575.0,red,MA,UNVR
171,2004-05-26,3575.0,red,MA,UNVR
172,2004-05-27,3600.0,red,MA,UNVR
173,2004-05-28,3600.0,red,MA,UNVR
174,2004-05-31,3600.0,red,MA,UNVR
175,2004-06-01,3625.0,red,MA,UNVR
176,2004-06-02,3650.0,red,MA,UNVR
177,2004-06-04,3650.0,red,MA,UNVR
178,2004-06-07,3700.0,red,MA,UNVR
179,2004-06-08,3675.0,red,MA,UNVR
180,2004-06-09,3675.0,red,MA,UNVR
181,2004-06-10,3700.0,red,MA,UNVR
182,2004-06-11,3675.0,red,MA,UNVR
183,2004-06-14,3700.0,red,MA,UNVR
184,2004-06-15,3775.0,red,MA,UNVR
185,2004-06-16,3800.0,red,MA,UNVR
186,2004-06-17,3775.0,red,MA,UNVR
187,2004-06-18,3625.0,red,MA,UNVR
188,2004-06-21,3650.0,red,MA,UNVR
189,2004-06-22,3675.0,red,MA,UNVR
190,2004-06-23,3625.0,red,MA,UNVR
191,2004-06-24,3700.0,red,MA,UNVR
192,2004-06-25,3850.0,red,MA,UNVR
193,2004-06-28,3800.0,red,MA,UNVR
194,2004-06-29,3800.0,red,MA,UNVR
195,2004-06-30,3925.0,red,MA,UNVR
196,2004-07-01,3800.0,red,MA,UNVR
197,2004-07-02,3900.0,red,MA,UNVR
198,2004-07-06,3950.0,red,MA,UNVR
199,2004-07-07,3950.0,red,MA,UNVR
200,2004-07-08,3975.0,red,MA,UNVR
201,2004-07-09,3900.0,red,MA,UNVR
202,2004-07-12,3900.0,red,MA,UNVR
203,2004-07-13,3950.0,red,MA,UNVR
204,2004-07-14,3900.0,red,MA,UNVR
205,2004-07-15,3875.0,red,MA,UNVR
206,2004-07-16,3850.0,red,MA,UNVR
207,2004-07-19,3850.0,red,MA,UNVR
208,2004-07-20,3875.0,red,MA,UNVR
209,2004-07-21,3850.0,red,MA,UNVR
210,2004-07-22,3800.0,red,MA,UNVR
211,2004-07-23,3775.0,red,MA,UNVR
212,2004-07-26,3775.0,red,MA,UNVR
213,2004-07-27,3825.0,red,MA,UNVR
214,2004-07-28,3850.0,red,MA,UNVR
215,2004-07-29,3875.0,red,MA,UNVR
216,2004-07-30,3775.0,red,MA,UNVR
217,2004-08-02,3800.0,red,MA,UNVR
218,2004-08-03,3850.0,red,MA,UNVR
219,2004-08-04,3825.0,red,MA,UNVR
220,2004-08-05,3775.0,red,MA,UNVR
221,2004-08-06,3800.0,red,MA,UNVR
222,2004-08-09,3675.0,red,MA,UNVR
223,2004-08-10,3675.0,red,MA,UNVR
224,2004-08-11,3700.0,red,MA,UNVR
225,2004-08-12,3675.0,red,MA,UNVR
226,2004-08-13,3650.0,red,MA,UNVR
227,2004-08-16,3650.0,red,MA,UNVR
228,2004-08-18,3650.0,red,MA,UNVR
229,2004-08-19,3650.0,red,MA,UNVR
230,2004-08-20,3625.0,red,MA,UNVR
231,2004-08-23,3550.0,red,MA,UNVR
232,2004-08-24,3400.0,red,MA,UNVR
233,2004-08-25,3300.0,red,MA,UNVR
234,2004-08-26,3325.0,red,MA,UNVR
235,2004-08-27,3375.0,red,MA,UNVR
236,2004-08-30,3375.0,red,MA,UNVR
237,2004-08-31,3350.0,red,MA,UNVR
238,2004-09-01,3400.0,red,MA,UNVR
239,2004-09-02,3425.0,red,MA,UNVR
240,2004-09-03,3500.0,red,MA,UNVR
241,2004-09-06,3450.0,red,MA,UNVR
242,2004-09-07,3450.0,red,MA,UNVR
243,2004-09-08,3475.0,red,MA,UNVR
244,2004-09-09,3400.0,red,MA,UNVR
245,2004-09-10,3450.0,red,MA,UNVR
246,2004-09-14,3475.0,red,MA,UNVR
247,2004-09-15,3500.0,red,MA,UNVR
248,2004-09-16,3500.0,red,MA,UNVR
249,2004-09-17,3475.0,red,MA,UNVR
250,2004-09-21,3450.0,red,MA,UNVR
251,2004-09-22,3400.0,red,MA,UNVR
252,2004-09-23,3400.0,red,MA,UNVR
253,2004-09-24,3400.0,red,MA,UNVR
254,2004-09-27,3350.0,red,MA,UNVR
255,2004-09-28,3300.0,red,MA,UNVR
256,2004-09-29,3250.0,red,MA,UNVR
257,2004-09-30,3250.0,red,MA,UNVR
258,2004-10-01,3300.0,red,MA,UNVR
259,2004-10-04,3325.0,red,MA,UNVR
260,2004-10-05,3250.0,red,MA,UNVR
261,2004-10-06,3250.0,red,MA,UNVR
262,2004-10-07,3150.0,red,MA,UNVR
263,2004-10-08,3125.0,red,MA,UNVR
264,2004-10-11,3150.0,red,MA,UNVR
265,2004-10-12,3125.0,red,MA,UNVR
266,2004-10-13,3150.0,red,MA,UNVR
267,2004-10-14,3125.0,red,MA,UNVR
268,2004-10-15,3125.0,red,MA,UNVR
269,2004-10-18,3150.0,red,MA,UNVR
270,2004-10-19,3125.0,red,MA,UNVR
271,2004-10-20,3125.0,red,MA,UNVR
272,2004-10-21,3125.0,red,MA,UNVR
273,2004-10-22,3200.0,red,MA,UNVR
274,2004-10-25,3175.0,red,MA,UNVR
275,2004-10-26,3200.0,red,MA,UNVR
276,2004-10-27,3175.0,red,MA,UNVR
277,2004-10-28,3225.0,red,MA,UNVR
278,2004-10-29,3275.0,red,MA,UNVR
279,2004-11-01,3300.0,red,MA,UNVR
280,2004-11-02,3250.0,red,MA,UNVR
281,2004-11-03,3275.0,red,MA,UNVR
282,2004-11-04,3250.0,red,MA,UNVR
283,2004-11-05,3250.0,red,MA,UNVR
284,2004-11-08,3200.0,red,MA,UNVR
285,2004-11-09,3200.0,red,MA,UNVR
286,2004-11-10,3250.0,red,MA,UNVR
287,2004-11-11,3275.0,red,MA,UNVR
288,2004-11-12,3250.0,red,MA,UNVR
289,2004-11-22,3275.0,red,MA,UNVR
290,2004-11-23,3350.0,red,MA,UNVR
291,2004-11-24,3275.0,red,MA,UNVR
292,2004-11-25,3225.0,red,MA,UNVR
293,2004-11-26,3200.0,red,MA,UNVR
294,2004-11-29,3250.0,red,MA,UNVR
295,2004-11-30,3325.0,red,MA,UNVR
296,2004-12-01,3300.0,red,MA,UNVR
297,2004-12-02,3225.0,red,MA,UNVR
298,2004-12-03,3250.0,red,MA,UNVR
299,2004-12-06,3300.0,red,MA,UNVR
300,2004-12-07,3250.0,red,MA,UNVR
301,2004-12-08,3250.0,red,MA,UNVR
302,2004-12-09,3275.0,red,MA,UNVR
303,2004-12-10,3250.0,red,MA,UNVR
304,2004-12-13,3250.0,red,MA,UNVR
305,2004-12-14,3175.0,red,MA,UNVR
306,2004-12-15,3325.0,red,MA,UNVR
307,2004-12-16,3300.0,red,MA,UNVR
308,2004-12-17,3325.0,red,MA,UNVR
309,2004-12-20,3325.0,red,MA,UNVR
310,2004-12-21,3325.0,red,MA,UNVR
311,2004-12-22,3325.0,red,MA,UNVR
312,2004-12-23,3300.0,red,MA,UNVR
313,2004-12-27,3325.0,red,MA,UNVR
314,2004-12-28,3350.0,red,MA,UNVR
315,2004-12-29,3350.0,red,MA,UNVR
316,2004-12-30,3300.0,red,MA,UNVR
317,2005-01-03,3350.0,red,MA,UNVR
318,2005-01-04,3350.0,red,MA,UNVR
319,2005-01-05,3350.0,red,MA,UNVR
320,2005-01-06,3325.0,red,MA,UNVR
321,2005-01-07,3325.0,red,MA,UNVR
322,2005-01-10,3350.0,red,MA,UNVR
323,2005-01-11,3325.0,red,MA,UNVR
324,2005-01-12,3325.0,red,MA,UNVR
325,2005-01-13,3325.0,red,MA,UNVR
326,2005-01-14,3400.0,red,MA,UNVR
327,2005-01-17,3400.0,red,MA,UNVR
328,2005-01-18,3375.0,red,MA,UNVR
329,2005-01-19,3375.0,red,MA,UNVR
330,2005-01-20,3425.0,red,MA,UNVR
331,2005-01-24,3475.0,red,MA,UNVR
332,2005-01-25,3500.0,red,MA,UNVR
333,2005-01-26,3500.0,red,MA,UNVR
334,2005-01-27,3525.0,red,MA,UNVR
335,2005-01-28,3450.0,red,MA,UNVR
336,2005-01-31,3500.0,red,MA,UNVR
337,2005-02-01,3475.0,red,MA,UNVR
